﻿total=1044
malade condamné	患绝症的人
à moins de /que	除非，如果不
au moins, du moins	至少
élaborer	制作，制定，拟定
élancer	冲向，奔向
élargir	加宽，加大
crème	奶油
crémerie	乳品商店
décrocher	拿起电话听筒，得到，获得
flash	闪光灯
flatter	奉承，恭维
se flatter de	以...自荣
chauffeur	司机
chausser	穿鞋
agrandir	扩大，放大
agréer	同意，赞成，接受，允许
agréable	令人愉快的，可爱的
mouton	羊肉
natation	游泳
nation	民族，国家
national,e	民族的，国家的
nationalité	国籍
costume	服装，戏装
costume de bain	浴袍
ajouter	增加，补充
aimer	爱，喜爱
aimable	可爱的，亲切的
ajourner	延期，推迟
colonie	殖民地，夏令营
combien	多少，多远，多长，多么
combine	办法，手段，计策
combiner	结合
jambe	腿
écran	屏幕
écraser	压碎，压垮，击败
écrasant ,e	沉重的，繁重的
écrasé ,e	被压碎的，被打垮的
écrasement	压碎，崩溃
enfant	孩子般的；孩子
enfance	童年
épreuve	考验，考试
éprouvé ,e	经过考验的，遭受苦难的
bille	弹子，钢珠
billet	票，钞票
attirer	拖，拉；吸引；招致
soupçonné	猜疑，猜想
soupe	浓汤
souper	吃夜宵，夜点心
dopage	（体育比赛中使用的）兴奋剂
dopant,e	兴奋剂的/兴奋剂
modeste	卑下的，谦虚的
modestie	谦虚，虚心 
fracas	喧哗，议论，爆炸声
attaquer	攻击，进攻
attaque	攻击
boîte	箱，盒，听，罐
boîte noire	黑匣子
boîte de nuit	夜总会
boiter	蹒跚，跛行
boiteux ,euse	跛的，跛子
cristal	水晶
critère	标准
culture	耕作，农作物，文化，文明
culturel,elle	文化的
débrancher	切断，拔掉插头
débrancher une prise	切断电源
modifier	修改，改变
contrée	地方，地区
métier	职业，行业，技巧，经验
métal	金属
métallique	金属的
balcon	阳台
baliverne	废话，空话
balle	子弹，小球
avarice	吝啬，贪财
sursaut	惊跳
sursauter	惊跳，惊起
surtout	特别，尤其
crise	危机
la crise de la quarantaine	中年的危机
crise économique	经济危机
croire	相信，认为
