puman	美洲狮
thrust	v.硬塞给；强行挤进
largely	ad.在很大程度上
comic	a.喜剧的，可笑的
universal	a.普遍的
comedian	n.滑稽演员，喜剧演员
distasteful	a.讨厌的
pester	v.一再要求，纠缠
dread	v.惧怕
recovery	n.康复
plaster	n.熟石膏
console	v.安慰，慰问
hobble	v.瘸着腿走
compensate	v.补偿
mumble	v.喃喃而语
labourer	n.劳动者(也做laborer)
overnight	ad.一夜期间
hay	n.干草
corn	n.谷物
moonlight	n.月光
conscientious	a.认真的
suspect	v.怀疑
desert	v.(军队中)开小差
regiment	n.(军队)团
action	n.战斗
recluse	n.隐士
lovable	a.可爱的
eccentric	n.(行为)古怪的人
disregard	v.不顾，无视
convention	n.习俗，风俗
conscious	a.感觉到的，意识到的
invariably	ad.总是，经常地
routine	n.常规；惯例; a.常规的
shrewd	a.精明的
eccentricity	n.怪癖
legendary	a.传奇般的
snob	n.势利小人，谄上欺下的人
intensely	ad.强烈地
bedraggled	a.拖泥带水的；又脏又湿的
dump	v.把……砰的一声抛下
apologetic	a.道歉的
reprimand	v.训斥
stage	v.暗中策划
elaborate	a.精心构思的；精致的
salvage	v./n.救助，营救，打捞;
Barents	n.巴伦支(海)
sunken	a.沉没的
cargo	n.货物
bullion	n.金条；银条
scour	v.彻底搜索
chest	n.大箱子
contents	n.(复数)所装的东西
belongings	n.(复数)所有物
item	n.物件
cruiser	n.巡洋舰
find	n.找到的物品
log book	航海日志
piece	v.拼成整体
convoy	v./n.护航
torpedo	v.用鱼雷攻击
submarine	n.潜水艇
naval	a.海军的
ministry	n.(政府的)部
prelude	n.序幕，前奏
unforeseen	a.意料之外的
series	n.系列
catastrophe	n.大祸，灾难
crockery	n.陶器，瓦器
suburb	n.郊区
collide	v.猛撞
learner	n.初学者
panic	n.惊慌，恐慌
windscreen	n.(汽车的)挡风玻璃
alongside	prep.在……的旁边，与……并排
slide	v.滑；回避
stray	a.迷失的，离群的；v.迷路，偏离
confusion	n.混乱
greedily	ad.贪婪地
devour	v.狼吞虎咽地吃
antique	n.古董，古玩
fascination	n.魅力，迷惑力
